restaurant,michelin_stars,city,province,region,coast_province,coordenates,latitude,longitude,price_menu_1,price_menu_2,price_average,type_of_cooking1,type_of_cooking2,international_cooking,regional_cooking
La Botica,1,Matapozuelos,Valladolid,Castilla y Leon,No,"41.4143355,-4.7936906",41.4143355,-4.7936906,45,65.0,55.0,Moderna,,,
Sents,1,Ontinyent,Alicante,C.Valenciana,Yes,"38.818966,-0.6022797",38.818966,-0.6022797,85,,85.0,Moderna,,,
L'Escaleta,2,Cocentaina,Alicante,C.Valenciana,Yes,"38.7570388,-0.4487872",38.7570388,-0.4487872,80,135.0,107.5,Creativa,,,Mediterranea
Triigo,1,Valladolid,Valladolid,Castilla y Leon,No,"41.6525335,-4.7268548",41.6525335,-4.7268548,45,55.0,50.0,Moderna,,,
Refectorio,1,Sardon de Duero,Valladolid,Castilla y Leon,No,"41.6166551,-4.4131639",41.6166551,-4.4131639,130,170.0,150.0,Creativa,,,
El Xato,1,La nucia,Alicante,C.Valenciana,Yes,"38.617229,-0.1253347",38.617229,-0.1253347,59,79.0,69.0,Creativa,,,Mediterranea
Taller Arzuaga por Victor Rodriguez,1,Quitanilla de Onesimo,Valladolid,Castilla y Leon,No,"41.6290468,-4.3241797",41.6290468,-4.3241797,50,110.0,80.0,Creativa,Moderna,,
El Doncel,1,Sigenza,Soria,Castilla y Leon,No,"41.069228,-2.6458641",41.069228,-2.6458641,76,118.0,97.0,Moderna,,,
Ambivium,1,Peafiel,Valladolid,Castilla y Leon,No,"41.594665,-4.0900757",41.594665,-4.0900757,75,95.0,85.0,Moderna,,,
Hospederia el Batan,1,Tramacastiilla,Teruel,Castilla la Mancha,No,"40.4266192,-1.5625197",40.4266192,-1.5625197,49,69.0,59.0,Creativa,Moderna,,
El Molino de Alcuneza,1,Sigenza,Soria,Castilla y Leon,No,"41.105905,-2.6063827",41.105905,-2.6063827,58,79.0,68.5,Moderna,,,
Manuel Alonso Restaurante,1,Daimus,Valencia,C.Valenciana,Yes,"38.9754267,-0.1429198",38.9754267,-0.1429198,92,,92.0,Moderna,,,
Orobianco,1,Calp,Alicante,C.Valenciana,Yes,"38.6659775,0.0424549",38.6659775,0.0424549,75,110.0,92.5,Contemporanea,,Italiana,
Beat,1,Calp,Alicante,C.Valenciana,Yes,"38.6466641,0.0556022",38.6466641,0.0556022,45,95.0,70.0,Contemporanea,,Francesa,
Audrey's by Rafa Soler,1,Calp,Alicante,C.Valenciana,Yes,"38.6505583,0.0712393",38.6505583,0.0712393,55,95.0,75.0,Creativa,,,
